,English,Portuguese
0,station,estação
1,acting,atuando
2,accept,aceitar
3,blow,golpe
4,strange,estranho
5,saved,salvou
6,Ivy or ivy,Ivy ou Ivy
7,conversation,conversação
8,plane,avião
9,mama,Mama
10,yesterday,ontem
11,lied,mentiu
12,quick,rápido
13,lately,recentemente
14,stuck,grudou
15,lovely,encantador
16,security,segurança
17,report,relatório
18,Barbara,Barbara
19,difference,diferença
20,rid,livrar
21,tv or TV,TV ou TV
22,Adam,Adão
23,store,armazenar
24,she'd,cabana
25,bag,sacola
26,bought,comprado
27,ball,bola
28,single,solteiro
29,Kevin,Kevin
30,doubt,dúvida
31,listening,ouvindo
32,major,formar-se
33,walking,andando
34,cops,policiais
35,blue,azul
36,deep,profundo
37,dangerous,perigoso
38,Buffy,Buffy
39,park or Park,Parque ou estacionamento
40,sleeping,adormecido
41,Chloe,Chloe
42,Rafe,Rafe
43,shh,shh
44,record,registro
45,lord,senhor
46,Erica,Érica
47,moved,mudou-se
48,join,Junte
49,key,chave
50,captain,capitão
51,card,cartão
52,crime,crime
53,gentlemen,cavalheiros
54,willing,disposto
55,window,janela
56,return,Retorna
57,walked,caminhou
58,guilty,culpado
59,Brenda,Brenda
60,likes,curtidas
61,fighting,brigando
62,difficult,difícil
63,soul,alma
64,joke,Piada
65,service,serviço
66,magic,Magia
67,favorite,favorito
68,uncle,tio
69,promised,prometido
70,public,público
71,bother,irmão
72,island,ilha
73,Jim,Jim
74,seriously,a sério
75,cell,célula
76,lead,conduzir
77,knowing,sabendo
78,broken,quebrado
79,advice,adendo
80,somehow,de alguma forma
81,paid,pago
82,Blair,Blair
83,losing,perdendo
84,push,Empurre
85,helped,ajudou
86,killing,matando
87,usually,usualmente
88,earlier,mais cedo
89,boss,chefe
90,Laura,Laura
91,beginning,começo
92,liked,apreciado
93,innocent,inocente
94,doc,Doc
95,rules,as regras
96,Elizabeth,Elizabeth
97,Sabrina,Sabrina
98,summer or Summer,verão ou verão
99,ex,ex
100,cop,policial
101,learned,aprendido
102,thirty,trinta
103,risk,risco
104,letting,de locação
105,Phillip,Phillip
106,speaking,Falando
107,officer,Policial
108,ridiculous,ridículo
109,support,"Apoio, suporte"
110,afternoon,tarde
111,Eric,Eric
112,born,nascido
113,dreams,sonhos
114,apologize,desculpar-se
115,seat,assento
116,nervous,nervoso
117,across,através
118,song,música
119,Olivia,Olivia
120,charge,carregar
121,patient,paciente
122,Cassie,Cassie
123,boat,barco
124,how'd,Como
125,brain,cérebro
126,hide,ocultar
127,detective,detetive
128,Aaron,Aaron
129,Kendall,Kendall
130,general,em geral
131,Tom,Tom
132,planning,planejamento
133,nine,nove
134,huge,enorme
135,breakfast,café da manhã
136,horrible,horrível
137,age,era
138,awful,horrível
139,pleasure,prazer
140,driving,dirigindo
141,hanging,pendurado
142,picked,escolhido
143,system,sistema
144,sell,vender
145,quit,Sair
146,apparently,aparentemente
147,dying,moribundo
148,notice,perceber
149,Josh,Josh
150,congratulations,Parabéns
151,chief,chefe
152,faith,fé
153,Simon,Simon
154,ho or Ho,ho ou ho
155,one's,uns
156,month,mês
157,visit,Visita
158,Hal,Coisa
159,could've,poderia ter
160,c'mon,isso é
161,aw,C
162,Edmund,Edmund
163,Brady,Brady
164,letter,carta
165,decide,decidir
166,American,americano
167,double,em dobro
168,Troy,Troy
169,sad,triste
170,press,pressione
171,forward,frente
172,fool,idiota
173,smell,cheiro
174,seemed,pareceu
175,Mary,Mary
176,spell,soletrar
177,Courtney,Courtney
178,memory,memória
179,Mark or mark,Marca ou marca
180,Alan,Alan
181,pictures,As fotos
182,Paris,Paris
183,slow,lento
184,Joe or joe,Joe ou Joe
185,Tim,Tim
186,seconds,segundos
187,hungry,com fome
188,board,quadro
189,position,posição
190,hearing,audição
191,Roz,Rosa
192,kitchen,cozinha
193,ma'am,Senhora
194,Bob or bob,Bob ou Bob
195,force,força
196,fly,voe
197,during,durante
198,space,espaço
199,should've,deveria ter
200,realized,percebi
201,experience,experiência
202,kick,chute
203,others,outros
204,grab,agarrar
205,mother's,da mãe
206,P.,P.
207,Sharon,Sharon
208,discuss,discutir
209,third,terceiro
210,cat or Cat,gato ou gato
211,fifty,cinquenta
212,responsible,responsável
213,Jennifer,Jennifer
214,Philip,Philip
215,miles or Miles,milhas ou milhas
216,fat,gordo
217,idiot,idiota
218,yep,Sim
219,rock,Rocha
220,rich,rico
221,suddenly,De repente
222,agent,agente
223,destroy,destruir
224,bucks,Bucks
225,track,acompanhar
226,shoes,sapatos
227,scene,cena
228,peace,Paz
229,arms,braços
230,demon,demônio
231,Diane,Diane
232,Bridget,Bridget
233,Brad,Brad
234,low,baixo
235,Livvie,Livvie
236,consider,considerar
237,papers,papéis
238,medical,médico
239,incredible,incrível
240,witch,bruxa
241,er,é
242,drunk,bêbado
243,attorney,advogado
244,Charlie,Charlie
245,tells,diz
246,knock,bater
247,Karen,Karen
248,ways,caminhos
249,eh,Eh
250,belle or Belle,Belo ouro
251,cash or Cash,dinheiro ou dinheiro
252,gives,dá
253,department,departamento
254,nose,nariz
255,Skye,Skye
256,turns,curva
257,keeps,mantém
258,beer,Cerveja
259,jealous,com ciumes
260,drug,medicamento
261,Molly,Molly
262,sooner,mais cedo
263,cares,Cuidados
264,plenty,bastante
265,extra,extra
266,tea,chá
267,won,Ganhou
268,attack,ataque
269,ground,chão
270,outta,outta
271,Kyle,Kyle
272,L.,EU.
273,weekend,fim de semana
274,matters,assuntos
275,wrote,escreveu
276,type,modelo
277,father's,do pai
278,Alex,Alex
279,gosh,poxa
280,opportunity,oportunidade
281,king,rei
282,books,livros
283,machine,máquina
284,waste,desperdício
285,th,º
286,pretend,fingir
287,named,nomeado
288,danger,perigo
289,wall,muro
290,Liz,Liz
291,Ian,Ian
292,Henry,Henry
293,jump,pular
294,eating,comendo
295,proof,prova
296,complete,completo
297,slept,dormisse
298,career,carreira
299,arrest,prender prisão
300,star,Estrela
301,Phyllis,Phyllis
302,Mac,Mac
303,breathe,respirar
304,perfectly,perfeitamente
305,warm,caloroso
306,pulled,retirado
307,Maria,Maria
308,twice,duas vezes
309,easier,mais fácil
310,killer,assassino
311,goin',entre'
312,dating,namoro
313,suit,Traje
314,romantic,romântico
315,drugs,drogas
316,comfortable,confortável
317,Isaac,Isaac
318,powers or Powers,poderes ou poderes
319,finds,achados
320,checked,verificado
321,fit,em forma
322,divorce,divórcio
323,begin,começar
324,ourselves,nós mesmos
325,closer,mais próximo
326,ruin,ruína
327,although,Apesar
328,smile,sorriso
329,laugh,riso
330,fish,peixe
331,Abigail,Abigail
332,treat,tratar
333,god's,Deuses
334,fear,temer
335,Anna,Anna
336,what'd,O que
337,Simone,Simone
338,Amber,Âmbar
339,guy's,rapazes
340,otherwise,por outro lado
341,excited,animado
342,mail,correspondência
343,hiding,se escondendo
344,cost,custo
345,green or Green,verde ou verde
346,stole,roubaram
347,Pacey,Pacey
348,noticed,percebido
349,Liza,Liza
350,fired,despedido
351,Daphne,Daphne
352,excellent,excelente
353,lived,vivido
354,bringing,trazendo
355,pop,pop
356,piper or Piper,Piper ou Piper
357,bottom,fundo
358,note,Nota
359,sudden,repentino
360,church,igreja
361,bathroom,banheiro
362,flight,voar
363,Chad or chad,Chad ou Chad
364,la or LA,la ou la
365,honestly,honestamente
366,sing,este
367,Katie,Katie
368,foot,pé
369,games,Jogos
370,glass,vidro
371,N.,N.
372,Mitch,Mitch
373,remind,lembrar
374,bank,banco
375,Rory,Rory
376,charges,cobranças
377,witness,testemunha
378,finding,encontrando
379,places,lugares
380,tree,árvore
381,dare,Ouse
382,hardly,dificilmente
383,that'll,Isso vai
384,U.,DENTRO.
385,interest,interesse
386,steal,roubar
387,princess,Princesa
388,silly,boba
389,contact,contato
390,teach,Ensinar
391,shop,fazer compras
392,plus,mais
393,colonel,coronel
394,fresh,fresco
395,trial,tentativas
396,invited,convidamos
397,roll,lista
398,radio,rádio
399,art,arte
400,reach,alcançar
401,dirty,sujo
402,choose,escolher
403,emergency,emergência
404,dropped,desistiu
405,butt,bunda
406,credit,crédito
407,obvious,óbvio
408,cry,choro
409,locked,trancado
410,Larry,Larry
411,loving,amoroso
412,positive,positivo
413,nuts,nozes
414,agreed,concordou
415,Prue,Prue
416,price or Price,preço ou preço
417,goodbye,adeus
418,condition,doença
419,guard,guarda
420,fuckin',porra
421,grow,crescer
422,cake,bolo
423,mood,humor
424,dad's,Pai
425,Bianca,Bianca
426,total,total
427,crap,porcaria
428,crying,chorando
429,Paige,Paige
430,K. or 'k,K. ou 'K
431,lay,colocar
432,partner,parceiro
433,trick,truque
434,pressure,pressão
435,ohh,Ohh
436,arm,braço
437,dressed,vestido
438,cup,copo
439,lies,mentiras
440,bus,ônibus
441,taste,gosto
442,neck,pescoço
443,south,sul
444,something's,algumas coisas
445,nurse,enfermeira
446,raise,levantar
447,land,terra
448,cross,Cruz
449,lots,grande quantidade
450,mister,senhor
451,carry,carregar
452,group,grupo
453,whoever,quem quer que seja
454,Eddie,Eddie
455,they'd,Eles teriam
456,breaking,quebra
457,file,Arquivo
458,lock,trancar
459,computer,computador
460,yo,elas
461,Rebecca,Rebecca
462,wine,vinho
463,closed,fechado
464,writing,escrita
465,spot,ver
466,paying,pagando
467,study,estudar
468,assume,presumir
469,asleep,dormindo
470,man's,Homem
471,turning,girando
472,legal,jurídico
473,justice,justiça
474,Viki,Viki
475,bedroom,quarto
476,shower,banho
477,Nikolas,Nikolas
478,camera,Câmera
479,fill,encher
480,reasons,razões
481,forty,quarenta
482,bigger,Maior
483,nope,Não
484,keys,chaves
485,Starr,Starr
486,breath,respiração
487,doctors,médicos
488,pants,calça
489,freak,doido
490,level,nível
491,French,Francês
492,movies,filmes
493,gee,dar
494,Monica,Monica
495,action,ação
496,area,área
497,folks,pessoal
498,Steve,Steve
499,cream,creme
500,ugh,eca
501,continue,Prosseguir
502,focus,foco
503,wild,selvagem
504,truly,verdadeiramente
505,Jill or jill,Jill ou Jill
506,desk,mesa
507,convince,convencer
508,threw,jogou
509,Taylor,Taylor
510,band,banda
511,hurts,machuca
512,Charles,Charles
513,spending,gastar
514,Neil,Neil
515,field or Field,campo ou campo
516,allow,permitir
517,grand,grande
518,answers,respostas
519,shirt,camisa
520,chair,cadeira
521,Christ or christ,Cristo ou Cristo
522,allowed,permitido
523,rough,rude
524,doin,fazendo
525,sees,vê
526,government,governo
527,Harry,atormentar
528,empty,vazio
529,round,redondo
530,lights,luzes
531,insane,insano
532,hall or Hall,salão ou salão
533,hat,Tem
534,bastard,Desgraçado
535,wind,vento
536,shows,shows
537,aware,consciente
538,dealing,lidando
539,pack,pacote
540,meaning,significado
541,flowers,flores
542,tight,apertado
543,hurting,machucando
544,ship,navio
545,subject,sujeito
546,guest,convidado
547,mom's,da mãe
548,chicken,frango
549,pal,amigo
550,match,Combine
551,Elaine,ELINE
552,arrested,preso
553,sun,Sol
554,Rachel,Rachel
555,Salem,Salem
556,confused,confuso
557,surgery,cirurgia
558,expecting,esperando
559,deacon,diácono
560,Colleen,Colleen
561,unfortunately,infelizmente
562,goddamn,Maldito
563,lab,laboratório
564,passed,passado
565,bottle,garrafa
566,beyond,além
567,whenever,em qualquer momento
568,pool,piscina
569,opinion,opinião
570,naked,nu
571,held,guardado
572,common,comum
573,starts,inicia
574,jerk,idiota
575,secrets,Segredos
576,falling,queda
577,played,reproduziu
578,necessary,necessário
579,barely,por muito pouco
580,dancing,dançando
581,health,saúde
582,tests,testes
583,copy,cópia de
584,Keri,Keri
585,video,vídeo
586,cousin,prima
587,planned,planejado
588,Vanessa,Vanessa
589,dry,seco
590,ahem,ahem
591,twelve,doze
592,simply,simplesmente
593,Tess,Tess
594,Scott,Scott
595,skin,pele
596,often,muitas vezes
597,English,Inglês
598,fifteen,quinze
599,spirit,espírito
600,speech,Fala
601,names,nomes
602,issue,questão
603,orders,ordens
604,nah,"agora,"
605,final,final
606,Michelle,Michelle
607,America,América
608,St.,St.
609,results,resultados
610,code,código
611,Ned,Baixa
612,Bonnie,Bonnie
613,W.,DENTRO.
614,believed,acreditava
615,complicated,complicado
616,umm,umm
617,research,pesquisar
618,nowhere,lugar algum
619,escape,escapar
620,biggest,o maior
621,restaurant,restaurante
622,page or Page,página ou página
623,grateful,grato
624,usual,usual
625,burn,queimar
626,Chicago,Chicago
627,Austin,Austin
628,address,Morada
629,within,dentro de
630,someplace,algum lugar
631,screw,parafuso
632,everywhere,em toda parte
633,train,Comboio
634,film,filme
635,regret,arrepender
636,goodness,bondade
637,mistakes,erros
638,heaven or Heaven,céu ou céu
639,details,detalhes
640,responsibility,responsabilidade
641,suspect,suspeito
642,corner,canto
643,hero,herói
644,terrific,formidável
645,Peter,Peter
646,mission,missão
647,further,mais longe
648,Amy,Amy
649,gas,gás
650,whoo,Whoo
651,hole,buraco
652,memories,recordações
653,o'clock,O'Clock
654,Brian,Brian
655,truck,caminhão
656,following,Segue
657,ended,terminou
658,nobody's,ninguém
659,Margo,Margo
660,teeth,dentes
661,ruined,arruinado
662,Hank,Hank
663,split,dividir
664,Reva,Reva
665,bear,urso
666,airport,aeroporto
667,bite,morder
668,smoke,fumaça
669,Stenbeck,Stenbeck
670,older,Mais velho
671,liar,mentiroso
672,horse,cavalo
673,Gwen,Gwen
674,showing,mostrando
675,van or Van,Conselho de Obras de
676,project,projeto
677,cards,cartões
678,desperate,desesperado
679,themselves,eles mesmos
680,search,procurar
681,pathetic,patético
682,damage,dano
683,spoke,falou
684,quickly,rapidamente
685,scare,susto
686,Marah,Bravo
687,G.,G.
688,beach,de praia
689,Mia,Meu
690,brown or Brown,marrom ou marrom
691,afford,proporcionar
692,vote,voto
693,settle,resolver
694,gold,ouro
695,re or 're,re ou 're
696,mentioned,mencionado
697,ed or -ed,ed ou -ed
698,due,vencimento
699,passion,paixão
700,Y. or -y,Y. ou -y
701,stayed,fiquei
702,rule,regra
703,checking,verificando
704,tie,gravata
705,hired,contratado
706,upon,sobre
707,rush or Rush,correr ou pressa
708,Tad,Então
709,heads,cabeças
710,concern,interesse
711,blew,estraguei
712,natural,natural
713,Alcazar,ALCAZAR
714,Kramer,Kramer
715,champagne,champanhe
716,connection,conexão
717,tickets,ingressos
718,Kate,Kate
719,finger,dedo
720,happiness,felicidade
721,form,Formato
722,saving,economizando
723,kissing,se beijando
724,Martin,Martin
725,hated,odiado
726,personally,pessoalmente
727,suggest,sugerir
728,prepared,preparado
729,build,construir
730,leg,perna
731,onto,para
732,leaves,folhas
733,downstairs,andar de baixo
734,ticket,bilhete
735,it'd,É
736,taught,ensinado
737,loose,solto
738,holy,piedosos
739,staff,funcionários
740,sea,mar
741,Asa,Trabalho
742,planet,planeta
743,duty,dever
744,convinced,convencido
745,throwing,jogando
746,defense,defesa
747,Harvey,Harvey
748,kissed,beijado
749,legs,pernas
750,Dave,Dave
751,according,de acordo com
752,loud,alto
753,practice,prática
754,Andy,Andy
755,Jess,Jess
756,Saturday,Sábado
757,Colin,Colin
758,bright or Bright,brilhante ou brilhante
759,Amanda,Amanda
760,Fraser,Fraser
761,F.,F.
762,babies,bebês
763,army,exército
764,where'd,onde d
765,warning,aviso
766,miracle,milagre
767,carrying,carregando
768,flying,vôo
769,Caleb,Caleb
770,blind,cego
771,queen,rainha
772,ugly,feio
773,shopping,Shopping
774,hates,odeia
775,someone's,de alguém
776,Seth,Seth
777,monster,monstro
778,sight,visão
779,vampire,vampiro
780,Rosanna,Rosanna
781,bride,noiva
782,coat,casaco
783,account,conta
784,states,estados
785,clearly,claramente
786,celebrate,comemoro
787,Nicole,Nicole
788,brilliant,brilhante
789,wanting,querendo
790,Allison,Allison
791,add,adicionar
792,moon,lua
793,Forrester,Forrester
794,lips,lábios
795,custody,custódia
796,center,Centro
797,screwed,parafusado
798,buying,comprando
799,size,Tamanho
800,toast,brinde
801,thoughts,pensamentos
802,Isabella,Isabella
803,student,aluna
804,however,Contudo
805,professional,profissional
806,stars,estrelas
807,reality,realidade
808,Jimmy or jimmy,Jimmy ou Jimmy
809,birth,nascimento
810,Lexie,Lexie
811,attitude,atitude
812,advantage,vantagem
813,grandfather,Vô
814,Sami,Pegue
815,sold,vendido
816,opened,aberto
817,Lily,Lírio
818,grandma,Avó
819,beg,implorar
820,Edward,Edward
821,changes,mudanças
822,Cole,Cole
823,someday,algum dia
824,grade,avaliar
825,cheese,queijo
826,roof,cobertura
827,Kenny,Kenny
828,Bobby or bobby,Bobby ou Bobby
829,pizza,pizza
830,brothers,irmãos
831,X. or x,X. ou x
832,signed,assinado
833,bird,pássaro
834,ahh,ahh
835,marrying,casar
836,powerful,poderoso
837,grown,crescido
838,grandmother,avó
839,fake,falso
840,opening,abertura
841,Sally,Sally
842,Stephanie,Stephanie
843,expected,esperado
844,eventually,eventualmente
845,must've,deve ter
846,ideas,Ideias
847,exciting,excitante
848,covered,abordado
849,Parker,Parker
850,de,do
851,familiar,familiar
852,bomb,bombear
853,bout,ataque
854,television,televisão
855,harmony or Harmony,harmonia ou harmonia
856,color,cor
857,heavy,pesado
858,schedule,cronograma
859,records,registros
860,H.,H.
861,dollar,dólar
862,capable,capaz
863,Toby,Toby
864,practically,praticamente
865,including,Incluindo
866,correct,correto
867,clue,dica
868,forgotten,esquecido
869,immediately,imediatamente
870,appointment,compromisso
871,social,social
872,nature,natureza
873,ú,você
874,deserves,merece
875,west or West,Oeste ou oeste
876,Blake,Blake
877,teacher,professora
878,threat,ameaça
879,Frankie,Frankie
880,bloody,sangrento
881,lonely,sozinho
882,Kelly,Kelly
883,ordered,ordenado
884,shame,vergonha
885,jacket,jaqueta
886,hook,gancho
887,destroyed,destruído
888,scary,apavorante
889,loser,perdedor
890,investigation,investigação
891,above,acima de
892,Jamal,Jamal
893,invite,convidar
894,shooting,filmagem
895,merry,alegre
896,port,porta
897,precious,precioso
898,lesson,lição
899,Roy,Roy
900,criminal,Criminoso
901,growing,crescendo
902,caused,causado
903,victim,vítima
904,professor,professor
905,followed,seguido
906,funeral,funeral
907,nothing's,nada é
908,dean,reitor
909,considering,considerando
910,burning,queimando
911,couch,sofá
912,strength,força
913,harder,mais difícil
914,loss,perda
915,view,Visão
916,Gia,Família
917,beauty,beleza
918,sisters,irmãs
919,everybody's,todo mundo
920,several,de várias
921,pushed,empurrado
922,Nicholas,Nicholas
923,written,escrito
924,somebody's,de alguém
925,shock,choque
926,pushing,empurrando
927,heat,aquecer
928,chocolate,chocolate
929,greatest,o melhor
930,Holden,Holden
931,miserable,miserável
932,Corinthos,Corinthos
933,nightmare,pesadelo
934,energy,energia
935,brings,traz
936,Zander,Zander
937,character,personagem
938,became,passou a ser
939,enemy,inimigo
940,crash,batida
941,chances,chances
942,sending,envio
943,recognize,reconhecer
944,healthy,saudável
945,boring,tedioso
946,feed,alimentação
947,engaged,noivo
948,Sarah,Sarah
949,percent,por cento
950,headed,indo
951,Brandon,Brandon
952,lines,linhas
953,treated,tratado
954,purpose,propósito
955,north or North,norte ou norte
956,knife,faca
957,rights,direitos
958,drag,arrastar
959,San,San
960,fan,fã
961,badly,seriamente
962,speed,Rapidez
963,Santa,Papai Noel
964,hire,contratar
965,curious,curioso
966,paint,pintar
967,pardon,perdão
968,Jackson,Jackson
969,built,construído
970,behavior,comportamento
971,closet,armário
972,candy or Candy,doces ou doces
973,Helena,Helena
974,warn,avisar
975,gorgeous,linda
976,post,publicar
